player_col,rapm_score,hltv_player_id,hltv_slug,player_name,label
p_19164,2.3250463649008988,19164,sunpayus,sunpayus,sunpayus
p_21139,2.324646192620398,21139,pr1metapz,pr1metapz,pr1metapz
p_11816,2.2870929938162368,11816,ropz,ropz,ropz
p_19230,2.162436044352865,19230,m0nesy,m0nesy,m0nesy
p_3741,2.135348137490956,3741,niko,niko,niko
p_13915,2.078977996619967,13915,yekindar,yekindar,yekindar
p_16816,2.0776597822346,16816,vsm,vsm,vsm
p_23295,2.067803463718507,23295,kisserek,kisserek,kisserek
p_20423,2.0427679612468252,20423,zont1x,zont1x,zont1x
p_24144,1.994489901063813,24144,molodoy,molodoy,molodoy
p_22473,1.9391141891512256,22473,qlocuu,qlocuu,qlocuu
p_20563,1.8976697232746136,20563,lux,lux,lux
p_12822,1.871988317550068,12822,vini,vini,vini
p_22564,1.8719883175500547,22564,noway,noway,noway
p_11893,1.8592045962759223,11893,zywoo,zywoo,zywoo
p_16693,1.8592045962759107,16693,flamez,flamez,flamez
p_7322,1.8592045962758792,7322,apex,apex,apex
p_21286,1.8455784347312083,21286,mlhzin,mlhzin,mlhzin
p_16920,1.812300996352989,16920,sh1ro,sh1ro,sh1ro
p_21167,1.8123009963529544,21167,donk,donk,donk
p_7716,1.8123009963529533,7716,chopper,chopper,chopper
p_19235,1.750640855929332,19235,belchonokk,belchonokk,belchonokk
p_7687,1.7503869012760616,7687,nitr0,nitr0,nitr0
p_15662,1.7340937431838264,15662,zorte,zorte,zorte
p_19692,1.7284192209927713,19692,zevy,zevy,zevy
p_20690,1.704746153449945,20690,zock,zock,zock
p_7938,1.6726813250417067,7938,xantares,xantares,xantares
p_21170,1.6450804513181208,21170,koala,koala,koala
p_20761,1.6421933062973846,20761,launx,launx,launx
p_20357,1.629787602827937,20357,d1ledez,d1ledez,d1ledez
p_22326,1.626688351077735,22326,kaide,kaide,kaide
p_20903,1.6245571848532954,20903,senzu,senzu,senzu
p_20104,1.6151046981321382,20104,s1n,s1n,s1n
p_3972,1.5788511848645852,3972,hunter,hunter,hunter
p_19750,1.56820314175959,19750,drop,drop,drop
p_11219,1.5679556792015419,11219,cerq,cerq,cerq
p_22419,1.5547170767011156,22419,0samas,0samas,0samas
p_16486,1.5463818256199442,16486,ztr,ztr,ztr
p_23047,1.5462431256377427,23047,sdaim,sdaim,sdaim
p_18838,1.5433149742749068,18838,hext,hext,hext
p_21113,1.5070273821187974,21113,modo,modo,modo
p_20312,1.503468844300561,20312,xertion,xertion,xertion
p_18850,1.5034688443005504,18850,jimpphat,jimpphat,jimpphat
p_18072,1.5034688443005475,18072,torzsi,torzsi,torzsi
p_13666,1.5034688443005433,13666,brollan,brollan,brollan
p_20464,1.4994500842602037,20464,ewjerkz,ewjerkz,ewjerkz
p_22643,1.4983095737851886,22643,nifee,nifee,nifee
p_12521,1.4938935045329584,12521,art,art,art
p_21969,1.486460238830011,21969,graviti,graviti,graviti
p_7592,1.4853666232762146,7592,device,device,device
p_13776,1.4831314302029506,13776,jame,jame,jame
p_18743,1.4801181324521544,18743,nython,nython,nython
p_18221,1.4771111835172097,18221,spinx,spinx,spinx
p_20119,1.4666432361849822,20119,nilo,nilo,nilo
