team_name,event_map_id,event_date,player_a_id,player_a,n_retained,n_pre_obs,n_post_obs,mean_pre,mean_post,delta,t_stat,p_value,retained_teammate_ids
Wildcard,13271,2025-07-30 21:30:00+00:00,8507,stanislaw,4,30,40,-0.10515777789366694,0.03595554351306687,0.14111332140673383,3.3724232353119996,0.001246375416888988,"21665,20018,22135,8711"
500,4274,2024-10-28 14:30:00+00:00,11217,spellan,3,24,30,-0.11690966606371696,0.023541651943241818,0.1404513180069588,3.077838359799189,0.003606718877431637,"18697,17145,11343"
ECSTATIC,7559,2024-05-23 17:00:00+00:00,16753,n1xen,3,3,21,-0.1090277249191497,0.029300015830616952,0.13832774074976664,2.6836642727616464,0.04478150659713304,"20417,20033,10961"
Cloud9,5669,2024-08-29 15:30:00+00:00,15071,interz,4,22,39,-0.07305488069103659,0.053928230932934834,0.1269831116239714,2.749954297819769,0.00850767473406665,"11840,20447,16555,21439"
Nexus,12365,2025-08-26 17:00:00+00:00,20761,launx,4,37,40,-0.08008433871643951,0.03700324449821252,0.11708758321465203,2.837132317471893,0.00585121620325941,"19817,12945,1206,9626"
Imperial,11396,2025-09-27 18:45:00+00:00,18676,skullz,4,40,40,-0.02752672766520408,0.08932905992904652,0.11685578759425061,2.8336114063295774,0.005856346089741486,"22564,19869,10566,12822"
Mythic,16144,2025-01-16 02:00:00+00:00,20510,hyza,4,40,40,-0.041443197957231157,0.07483276880207157,0.11627596675930273,2.869491947315065,0.005349468607762966,"15007,20793,22022,8503"
AMKAL,13796,2025-06-10 17:00:00+00:00,21431,sstinix,3,30,30,-0.05789397775060612,0.055895717532966245,0.11378969528357236,2.993190160312182,0.004055417975723823,"22075,21692,22076"
Rebels,13701,2025-06-11 11:00:00+00:00,22473,qlocuu,4,40,40,-0.04368119191500123,0.06805317593115368,0.1117343678461549,2.866789174837839,0.005339837855796709,"21715,15940,3669,23295"
Alliance,5529,2024-08-26 11:30:00+00:00,22760,upe,4,40,40,-0.07209965230657256,0.03647896370526273,0.1085786160118353,3.1586412181511396,0.0023025336606601753,"7443,9811,22860,15501"
Nexus,12404,2025-08-29 09:35:00+00:00,22563,fnl,4,39,40,-0.07161986557337381,0.032319634273540045,0.10393949984691386,2.48010533403165,0.015327974338554934,"19817,12945,1206,9626"
Passion UA,15339,2025-03-25 18:30:00+00:00,23413,s-chilla,4,40,35,-0.061509641735709365,0.03989050425224856,0.10140014598795793,2.4873714523792345,0.015164286598645707,"17008,21452,23414,23415"
Insilio,3498,2024-12-27 15:00:00+00:00,22535,dwushka,3,30,30,-0.03520582007462127,0.06005416143977659,0.09525998151439787,2.3666177562174755,0.021312577016756373,"23048,20197,18510"
M80,13365,2025-07-18 17:45:00+00:00,18838,hext,4,40,40,-0.05017505074528909,0.04270924302316276,0.09288429376845185,2.313986193442291,0.0233514295402558,"20104,22921,15370,16599"
EYEBALLERS,3537,2025-01-04 18:00:00+00:00,22914,dex,4,40,40,-0.0500669206794637,0.04152196047291237,0.09158888115237607,2.2273206205395795,0.028813518714977553,"3849,22060,23397,16029"
Monte Gen,5796,2024-08-17 18:30:00+00:00,21816,gizmy,4,40,40,-0.026044511127122118,0.06206231689924465,0.08810682802636677,2.265327158536166,0.026393783448710018,"21217,20794,22563,17117"
Tricked,11772,2025-09-10 17:00:00+00:00,8891,nodios,4,34,40,-0.05051302939529932,0.03659711470195094,0.08711014409725026,2.2349501156802423,0.02853660315937258,"10264,21571,21379,21036"
M80,16424,2025-01-20 09:00:00+00:00,12781,k1to,4,40,40,-0.06807785849138981,0.01875837429136868,0.08683623278275848,2.232948322323436,0.02842029428043732,"20104,22921,15370,16599"
Galorys,7100,2024-05-27 14:30:00+00:00,23551,tomate,4,40,40,-0.050629666496617966,0.03601143193618313,0.0866410984328011,2.3455326450923373,0.021584949869907673,"18610,20083,21284,19991"
Getting Info,13269,2025-07-30 00:30:00+00:00,24048,slump,3,24,24,-0.059086365203288964,0.025672028639198225,0.08475839384248719,1.5628608229305803,0.12495468018164119,"17372,10892,19709"
9INE,15271,2025-03-12 12:30:00+00:00,2898,raalz,4,40,40,-0.0006110185535014301,0.08413218257715446,0.08474320113065589,2.2440182953389702,0.02792916558178643,"14932,20300,10981,21159"
ALTERNATE aTTaX,5276,2024-09-19 11:45:00+00:00,12290,perx,4,40,40,-0.039771901954603325,0.04352632914681262,0.08329823110141595,2.0683901000477314,0.041952740284642645,"21500,20122,21468,14061"
1win,14932,2025-05-05 12:25:00+00:00,20782,goody,4,28,40,-0.06469294081223124,0.018046875030903676,0.08273981584313492,2.0452997188451936,0.04571682755049462,"8528,23770,23771,20700"
ODDIK,13445,2025-07-12 19:00:00+00:00,18894,t9rnay,4,40,40,-0.026023236494676128,0.05471510221175822,0.08073833870643435,2.0641411673010297,0.04234879582621108,"14390,16314,17181,22182"
Monte,13798,2025-06-11 11:00:00+00:00,19738,djoko,3,30,30,-0.008168230898872215,0.07214191800578319,0.0803101489046554,1.6124948532428638,0.11232152183048053,"21816,21217,19926"
RUBY,13912,2025-06-08 10:00:00+00:00,24972,maquein,4,40,40,-0.03912156492053909,0.040983477848479624,0.08010504276901871,1.912400128685596,0.059546901989788646,"20956,22325,22326,22189"
GamerLegion,5946,2024-08-15 18:00:00+00:00,16486,ztr,4,40,40,-0.01608460082435239,0.06389268288773309,0.07997728371208548,2.0212617970231084,0.04696705622340021,"20994,20358,20926,20870"
CYBERSHOKE,13756,2025-06-20 08:00:00+00:00,18510,sugar,4,40,32,-0.040701652136025626,0.03761013201585143,0.07831178415187706,2.061320412980135,0.043394358436751684,"22803,17508,20948,22879"
BESTIA,6531,2024-07-17 18:10:00+00:00,20690,zock,4,40,40,-0.01801440397034648,0.0598048335069127,0.07781923747725918,2.2381746228710218,0.02845893820137725,"2161,20394,21155,22570"
CYBERSHOKE,8802,2025-12-18 10:00:00+00:00,15662,zorte,4,40,40,-0.0021310442614630638,0.07567870947498526,0.07780975373644831,2.0506944683656645,0.0437201784504646,"22803,17508,20430,21710"
Nouns,16220,2025-02-06 02:00:00+00:00,15176,cryptic,3,30,24,0.011817054427936376,0.08885351428808257,0.07703645986014619,1.234727385423576,0.22358726483698527,"7805,14494,22135"
Illuminar,6660,2024-06-06 15:15:00+00:00,22011,kadziu,4,40,40,-0.028619156047963622,0.04758233150614784,0.07620148755411146,2.00133824500563,0.04884006857470487,"11891,21763,20637,8327"
LP,10445,2025-10-07 21:00:00+00:00,22082,fokiu,4,40,40,-0.03368023571046218,0.042029709223299495,0.07570994493376168,1.8918335734405929,0.062351152979253775,"20521,21284,17132,23550"
RED Canids,15618,2025-03-10 00:35:00+00:00,19750,drop,4,36,29,-0.044914165306044036,0.030273233395667495,0.07518739870171154,1.8281562065742083,0.07302784051063935,"9216,21288,9219,8565"
